Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2010,Observations_2013,Observations_2015,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Orchis quadripunctata,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,21341131,Least Concern,Unknown,0,0,1,0,0,0,0,0,0,2,2,0
Osyris alba,0,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,2,0
"Oxyopes Latreille,",0,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Oxyopes heterophthalmus,0,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Oxythyrea cinctella,0,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Pachyiulus flavipes,0,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,4,2,0
Papaver rhoeas,0,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,2764767,Least Concern,Stable,0,0,0,0,0,0,0,0,0,1,0,0
Parentucellia latifolia,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,2,0,0
Parus major,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264577711,Least Concern,Stable,0,0,0,0,0,0,3,2,10,4,0,0
Passer domesticus,1,Animalia,Chordata,Aves,Passeriformes,Passeridae,199147773,Least Concern,Decreasing,0,0,0,0,0,0,0,8,40,43,0,0
Periparus ater,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264545478,Least Concern,Stable,0,0,0,0,0,0,30,3,0,7,0,0
Phlomis fruticosa,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,1,0,0,0,0
Phoenicurus ochruros,0,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,166353782,Least Concern,Stable,0,0,0,0,0,0,0,0,0,10,1,0
Phylloscopus collybita,0,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,264567918,Least Concern,Stable,0,0,0,0,0,0,0,0,0,6,0,0
"Phymatiotris Solier,",0,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,2,1
Pica pica,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,264575751,Least Concern,Stable,0,0,0,0,0,0,0,1,4,23,0,0
Pieris brassicae,0,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,211399745,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,2,3,0
Pieris rapae,0,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,211416733,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,1,0,0
Pisaura mirabilis,0,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Pistacia lentiscus,0,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,2758261,Least Concern,Stable,0,0,0,0,1,0,0,0,0,0,1,0
Pistacia terebinthus,0,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,79913569,Least Concern,Stable,0,0,0,0,0,0,0,0,2,0,0,0
Plagionotus scalaris,0,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Platanus orientalis,0,Plantae,Tracheophyta,Magnoliopsida,Proteales,Platanaceae,68135880,Data Deficient,Decreasing,0,0,0,0,0,0,0,0,0,0,1,0
"Podarcis Wagler,",0,Animalia,Chordata,Squamata,,Lacertidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Podarcis ionicus,0,Animalia,Chordata,Squamata,,Lacertidae,204832746,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,1,1,0
Podarcis peloponnesiacus,0,Animalia,Chordata,Squamata,,Lacertidae,137855826,Least Concern,Stable,0,0,0,0,0,0,0,0,0,2,1,0
"Poecilimon Fischer,",0,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Polistes dominula,0,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,1,0,0
Polistes gallicus,0,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0,0
Polydrusus cocciferae,0,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Pompilidae,0,Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Porcellio laevis,0,Animalia,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Protaetia angustata,0,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,5144245,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,1,0
Prunella collaris,0,Animalia,Chordata,Aves,Passeriformes,Prunellidae,264586604,Least Concern,Stable,0,0,0,0,0,0,2,0,0,0,0,0
Prunus spinosa,0,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,19400568,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,1,0
Ptyonoprogne rupestris,0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,264590667,Least Concern,Stable,0,0,0,0,0,0,0,0,0,5,0,0
Pyrus spinosa,0,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,61612142,Least Concern,Unknown,0,0,0,0,1,0,0,0,1,0,0,0
Quercus cerris,0,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,2296302,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Quercus coccifera,0,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,2296598,Least Concern,Stable,0,0,0,0,0,0,0,0,0,1,1,0
"Rhipicephalus Koch,",0,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Rhynchium oculatum,0,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,1,0
Salvia clandestina,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Salvia verbenaca,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Scantius aegyptius,0,Animalia,Arthropoda,Insecta,Hemiptera,Pyrrhocoridae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Scolopendra cingulata,0,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,6,5,0
Serinus serinus,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,166411537,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,5,0,0
Sherardia arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Sitta europaea,0,Animalia,Chordata,Aves,Passeriformes,Sittidae,199569378,Least Concern,Stable,0,0,0,0,0,0,0,0,0,1,0,0
Smyrnium perfoliatum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,3,0,0
Sorghum halepense,1,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Steatoda triangulosa,0,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,3,0
Streptopelia decaocto,1,Animalia,Chordata,Aves,Columbiformes,Columbidae,166435449,Least Concern,Stable,0,0,0,1,0,0,0,0,4,3,0,0
Streptopelia turtur,0,Animalia,Chordata,Aves,Columbiformes,Columbidae,166232970,Vulnerable,Decreasing,0,0,0,0,0,0,3,0,0,0,0,0
Sylvia atricapilla,0,Animalia,Chordata,Aves,Passeriformes,Sylviidae,166384785,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,4,0,0
"Synema Simon,",0,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Tachyancistrocerus rhodensis,0,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0,0
Tachymarptis melba,0,Animalia,Chordata,Aves,Apodiformes,Apodidae,264532784,Least Concern,Unknown,0,0,0,0,0,0,0,0,6,0,0,0
"Temnothorax Mayr,",0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,1,0,0,0,0,0,0,0,0,0,0
Tessellana orina,0,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,74624624,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,0,1,0
Testudo hermanni,0,Animalia,Chordata,Testudines,,Testudinidae,2777071,Vulnerable,Decreasing,0,0,0,0,0,0,0,0,0,0,1,0
Testudo marginata,0,Animalia,Chordata,Testudines,,Testudinidae,2777760,Least Concern,Stable,0,0,0,0,0,0,0,0,0,2,1,1
Tettigonia viridissima,0,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,74624843,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,1,0,0
Thomisidae,0,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Thomisus onustus,0,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,2,0,0
"Thorectes Mulsant,",0,Animalia,Arthropoda,Insecta,Coleoptera,Geotrupidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,1,0
Tordylium apulum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0
Trichodes crabroniformis,0,Animalia,Arthropoda,Insecta,Coleoptera,Cleridae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Tringa ochropus,0,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,166250734,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Troglodytes troglodytes,0,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,199569861,Least Concern,Increasing,0,0,0,0,0,0,0,1,0,2,0,0
"Tropinota Mulsant,",0,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Tropinota hirta,0,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,2,0,0
Turdus iliacus,0,Animalia,Chordata,Aves,Passeriformes,Turdidae,166346241,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,1,0,0
Turdus merula,0,Animalia,Chordata,Aves,Passeriformes,Turdidae,264548442,Least Concern,Increasing,0,0,0,0,0,0,1,0,60,16,0,0
Turdus philomelos,0,Animalia,Chordata,Aves,Passeriformes,Turdidae,166346863,Least Concern,Stable,0,0,0,0,0,0,0,0,0,2,0,0
Turdus viscivorus,0,Animalia,Chordata,Aves,Passeriformes,Turdidae,264544715,Least Concern,Stable,0,0,0,0,0,0,0,0,3,0,0,0
Usia forcipata,0,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Verbascum sinuatum,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Vespula germanica,1,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0,0
Vinca herbacea,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Vinca major,1,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Vipera ammodytes,0,Animalia,Chordata,Squamata,,Viperidae,207991981,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,0,1,0
Vitex agnus-castus,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,174149576,Data Deficient,Unknown,0,0,0,0,2,0,0,0,0,0,0,0
Vitis vinifera,0,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,12687780,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0
Xanthium spinosum,1,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0
Xylocopa violacea,0,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,13325395,Least Concern,Stable,0,0,0,0,0,0,0,0,0,1,0,0
Zamenis situla,0,Animalia,Chordata,Squamata,,Colubridae,205825815,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,1,0
