Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2010,Observations_2011,Observations_2015,Observations_2017,Observations_2018,Observations_2019,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Polygonum arenastrum,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Potamogeton pusillus,0,Plantae,Tracheophyta,Liliopsida,Alismatales,Potamogetonaceae,120218868,Least Concern,Stable,0,0,0,0,0,0,1,0,0,0,0
Potamon pelops,0,Animalia,Arthropoda,Malacostraca,Decapoda,Potamidae,Not Found,Unknown,Unknown,0,0,0,0,2,0,0,0,0,0,0
Protoparmeliopsis bolcana,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Pseudevernia furfuracea,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Pterocephalus papposus,0,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Not Found,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0
Ptilostemon afer,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0
Ptilostemon stellatus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0
Ramalina farinacea,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Regulus ignicapilla,0,Animalia,Chordata,Aves,Passeriformes,Regulidae,166445678,Least Concern,Increasing,0,0,0,0,4,0,0,2,0,0,0
Reichardia picroides,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0
Rinodina septentrionalis,0,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Rumex pulcher,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,5775036,Least Concern,Stable,1,0,0,0,0,0,0,0,0,0,0
Salvia rosmarinus,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,2762622,Least Concern,Stable,0,0,0,0,0,0,0,0,1,0,0
Salvia verticillata,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Salvia virgata,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0
Scolymus hispanicus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,1,0,0,1,0,0,0,0,0,0,0
Scorpiurus muricatus,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Scytinium gelatinosum,0,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Scytinium lichenoides,0,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Not Found,Unknown,Unknown,0,0,0,2,0,0,0,0,0,0,0
Scytinium palmatum,0,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Serinus serinus,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,166411537,Least Concern,Decreasing,0,0,0,0,4,5,0,0,0,0,0
Sideritis purpurea,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0
Silene nutabunda,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Sisymbrium officinale,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,2758495,Least Concern,Stable,1,0,0,0,0,0,0,0,0,0,0
Sitta europaea,0,Animalia,Chordata,Aves,Passeriformes,Sittidae,199569378,Least Concern,Stable,0,0,0,7,10,13,0,1,0,2,0
Sitta neumayer,0,Animalia,Chordata,Aves,Passeriformes,Sittidae,166363065,Least Concern,Unknown,0,0,0,0,2,2,0,0,0,0,0
Smyrnium perfoliatum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,1,0,0,0
Spilostethus saxatilis,0,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,2,0,0
Sternbergia lutea,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,5994523,Least Concern,Unknown,0,0,0,0,0,0,1,0,0,0,0
Stipa bromoides,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Strix aluco,0,Animalia,Chordata,Aves,Strigiformes,Strigidae,264546097,Least Concern,Stable,0,0,0,1,0,1,0,0,0,0,0
Sylvia atricapilla,0,Animalia,Chordata,Aves,Passeriformes,Sylviidae,166384785,Least Concern,Increasing,0,0,0,0,18,2,0,0,0,1,0
Sympetrum striolatum,0,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,208822454,Least Concern,Stable,0,0,0,0,0,0,0,0,0,2,0
Telestes pleurobipunctatus,0,Animalia,Chordata,,Cypriniformes,Cyprinidae,137341294,Least Concern,Unknown,0,0,0,0,1,0,0,0,0,0,0
Teucrium flavum,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Teucrium polium,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0
Tordylium officinale,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Torilis arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Tremastelma palaestinum,0,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Trifolium scabrum,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,20157638,Least Concern,Stable,2,0,0,0,0,0,0,0,0,0,0
Troglodytes troglodytes,0,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,199569861,Least Concern,Increasing,0,0,0,0,7,0,0,0,0,0,0
Turdus merula,0,Animalia,Chordata,Aves,Passeriformes,Turdidae,264548442,Least Concern,Increasing,0,0,0,0,21,1,0,1,0,0,0
Turdus viscivorus,0,Animalia,Chordata,Aves,Passeriformes,Turdidae,264544715,Least Concern,Stable,0,0,0,0,0,0,0,2,0,0,0
Urospermum picroides,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Usnea barbata,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Velezia rigida,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Verbascum samniticum,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Vespa crabro,0,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0
Vespula germanica,1,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0
"Villa Lioy,",0,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0
Xanthoparmelia perrugata,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Xanthoparmelia tinctina,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
