Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2009,Observations_2010,Observations_2011,Observations_2013,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Sedum rubens,0,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Senecio vulgaris,1,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Setaria verticillata,1,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Sherardia arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Sideritis curvidens,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Silene vulgaris,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,53798707,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Sinapis alba,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,7243000,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Sinapis arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,7269292,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Sisymbrium orientale,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Sitta neumayer,0,Animalia,Chordata,Aves,Passeriformes,Sittidae,166363065,Least Concern,Unknown,0,1,0,0,0,1,0,0,0,0,0,0,0
Sonchus tenerrimus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Stachys spinulosa,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Stellaria apetala,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Stipa capensis,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Streptopelia decaocto,1,Animalia,Chordata,Aves,Columbiformes,Columbidae,166435449,Least Concern,Stable,3,3,0,0,0,0,0,0,0,0,0,0,0
Streptopelia turtur,0,Animalia,Chordata,Aves,Columbiformes,Columbidae,166232970,Vulnerable,Decreasing,3,0,0,0,0,0,0,0,0,0,0,0,0
Temnothorax bulgaricus,0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0
Temnothorax semiruber,0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0
"Tetramorium Mayr,",0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0
Teucrium capitatum,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Teucrium flavum,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
"Thorectes Mulsant,",0,Animalia,Arthropoda,Insecta,Coleoptera,Geotrupidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,1
Torilis nodosa,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Trifolium angustifolium,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,20120853,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Trifolium campestre,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Trifolium infamia-ponertii,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Trifolium scabrum,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,20157638,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Troglodytes troglodytes,0,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,199569861,Least Concern,Increasing,1,0,0,0,0,0,0,0,0,0,0,0,0
Turdus merula,0,Animalia,Chordata,Aves,Passeriformes,Turdidae,264548442,Least Concern,Increasing,4,0,0,0,0,0,0,0,0,0,0,0,0
Turgenia latifolia,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Urospermum picroides,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Valerianella echinata,0,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Verbascum mallophorum,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Veronica persica,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Vicia villosa,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Xanthium spinosum,1,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
